arch_seed,block,embed_params,epochs_run,failed,frozen_quantum_params,head_params,input_dim,logical_two_qubit,model,q_unchanged,quantum_params,representation,runtime_s,swap_est,test_auroc,test_balanced_accuracy,test_brier,test_classification_error,test_ece,test_logloss,total_params,total_trainable_params,train_size,transpiled_depth,transpiled_two_qubit,val_auroc,val_balanced_accuracy,val_brier,val_classification_error,val_ece,val_logloss
,0,,,False,,,8,,M2_mlp,,,R2_pca8,1.48,,0.522630970724191,0.5149332306111967,0.25047665440205885,0.4778,0.031000002373577105,0.6942215472109294,41,41,500,,,0.5531817780559836,0.5424932588597843,0.2473045329635757,0.4505,0.023308747378086907,0.6877729119250167
5000,0,36,50,False,0,5,8,0,M3_product,False,12,R2_pca8,7.59,0,0.5505006099126861,0.5386716743708269,0.2490296801949115,0.4552,0.032680055498536635,0.6913460948233353,53,53,500,4,0,0.5762260448767335,0.5500288906009245,0.24537450480606765,0.4445,0.021572005708448246,0.6838525094405481
5000,0,36,11,False,0,5,8,8,M4_entangled,False,12,R2_pca8,2.13,5,0.5311032999486389,0.5132318952234207,0.24860154072277188,0.4674,0.01304254960450741,0.6903550779111841,53,53,500,38,32,0.560227874614792,0.5240032742681048,0.24691684435399938,0.4565,0.011835534232887837,0.6869555790889394
5000,0,36,13,False,12,5,8,8,M5_frozen,True,12,R2_pca8,2.82,5,0.528487095531587,0.51643875192604,0.24908227264051724,0.4708,0.021537176290833973,0.6913424906770927,53,41,500,38,32,0.5572846446456087,0.541417886492039,0.24693547878311112,0.446,0.017133339068886175,0.6870163741740862
5001,0,36,24,False,0,5,8,0,M3_product,False,12,R2_pca8,4.22,0,0.5234883795582947,0.5215459681561376,0.2510106069843765,0.4688,0.035514216412503186,0.6953467814312763,53,53,500,4,0,0.5634208879044684,0.5412493579866461,0.24641135466422956,0.4495,0.012598038560306252,0.6859734296677842
5001,0,36,49,False,0,5,8,4,M4_entangled,False,12,R2_pca8,10.85,1,0.5580291795069336,0.5314522342064715,0.24650751924236639,0.4572,0.007106704039102569,0.686117210545736,53,53,500,18,12,0.5567198735233693,0.5363299306625577,0.24655707719249495,0.4525,0.0052601932731329,0.6862140534792688
5001,0,36,50,False,12,5,8,4,M5_frozen,True,12,R2_pca8,9.53,1,0.546134437596302,0.5319241140215716,0.2475353205468643,0.4544,0.0032715889159136737,0.6882092905248324,53,41,500,18,12,0.5475109944786851,0.533272342064715,0.24732937606167196,0.453,0.008467721773250479,0.6878001801382122
5002,0,36,15,False,0,5,8,0,M3_product,False,12,R2_pca8,2.56,0,0.5347013032871084,0.5199345146379044,0.24893429771029615,0.4696,0.029652212433501055,0.6910793915535103,53,53,500,4,0,0.5588816528633795,0.542300654853621,0.24648281652372722,0.4475,0.004145001360950749,0.6860671125282825
5002,0,36,16,False,0,5,8,4,M4_entangled,False,12,R2_pca8,2.98,2,0.5221993772470468,0.5262808166409861,0.25018867391458127,0.4638,0.026736201930004352,0.6935865226846692,53,53,500,20,14,0.5544808519517206,0.5411610811504879,0.24689703921048983,0.449,0.015928588806734607,0.6869238480159074
5002,0,36,18,False,12,5,8,4,M5_frozen,True,12,R2_pca8,3.44,2,0.5228595274781715,0.5274139702105803,0.2505609157262303,0.4636,0.03142968189642362,0.6943576927017888,53,41,500,20,14,0.5565924739984591,0.5442347200821778,0.2469374110429431,0.447,0.02066243243097432,0.6870202489286744
