block,model,representation,test_auroc,test_logloss,train_size
1,M2_mlp,R3_pca16,0.5482219440164355,0.687562269397813,2000
2,M2_mlp,R3_pca16,0.5539116268618387,0.6898186533468517,2000
3,M2_mlp,R3_pca16,0.545683102208526,0.6893530391009521,2000
4,M2_mlp,R3_pca16,0.5641037493579867,0.6860918067872303,2000
0,M3_product,R3_pca16,0.5701192539804828,0.685437399785451,2000
1,M3_product,R3_pca16,0.548571520287622,0.6876576040627362,2000
2,M3_product,R3_pca16,0.559220114278377,0.6889299160070106,2000
3,M3_product,R3_pca16,0.5546756227529533,0.6870304287556284,2000
4,M3_product,R3_pca16,0.5765233371854135,0.6829836631149743,2000
0,M4_entangled,R3_pca16,0.5631042950693375,0.6847214330530099,2000
1,M4_entangled,R3_pca16,0.5564231831022086,0.6861111288606747,2000
2,M4_entangled,R3_pca16,0.5585273818695429,0.6883718655451596,2000
3,M4_entangled,R3_pca16,0.5767477208525936,0.6817374685663568,2000
4,M4_entangled,R3_pca16,0.5624407742681048,0.685301669475583,2000
0,M5_frozen,R3_pca16,0.5676105868002055,0.6844019523350922,2000
1,M5_frozen,R3_pca16,0.5539747046738572,0.6865661008420184,2000
2,M5_frozen,R3_pca16,0.5579959553158707,0.6886453713313059,2000
3,M5_frozen,R3_pca16,0.5729025423728813,0.6833317917998732,2000
4,M5_frozen,R3_pca16,0.5584018682588597,0.687211263203503,2000
0,M0_class_prior,R3_pca16,0.5,0.691578359988849,5000
