arch,block,seed,trainable_logloss,frozen_logloss,diff_frozen_minus_trainable
11,4,0,0.7458004564842632,0.7458004564842625,-6.661338147750939e-16
11,4,1,0.7381553151646326,0.7381553151646326,0.0
12,4,0,0.7113894857363785,0.7112013319176882,-0.00018815381869030645
12,4,1,0.7474279752887368,0.748146826397747,0.0007188511090101546
13,4,0,0.7211123223010898,0.726720436735622,0.005608114434532241
13,4,1,0.7123318860025047,0.7506876077081169,0.03835572170561219
14,4,0,0.7281025117182512,0.748580302406744,0.02047779068849276
14,4,1,0.698822428429116,0.7013738961325245,0.0025514677034085276
15,4,0,0.7481446396909847,0.7580956452810816,0.009951005590096984
15,4,1,0.7764333200777374,0.7902207773091185,0.013787457231381195
16,4,0,0.7078030311643181,0.7078030311643181,0.0
16,4,1,0.7112409751374446,0.7112409751374446,0.0
17,4,0,0.7104090431777297,0.714160607875531,0.0037515646978013573
17,4,1,0.7551398278739293,0.7083862181101703,-0.046753609763758974
18,4,0,0.7497302540028302,0.7472120241131154,-0.0025182298897148403
18,4,1,0.7744770189433566,0.7421453597424672,-0.03233165920088943
19,4,0,0.7157540872388622,0.7101486519450481,-0.005605435293814187
19,4,1,0.7104816342068879,0.6961645858175182,-0.014317048389369758
0,5,0,0.7721254666483373,0.7749061237784959,0.002780657130158626
0,5,1,0.7778477261388543,0.744611740736959,-0.03323598540189532
1,5,0,0.7507259717222474,0.736601671101123,-0.014124300621124464
1,5,1,0.7663582222712405,0.7609605989246959,-0.005397623346544589
2,5,0,0.7618156341536185,0.7589282691106396,-0.002887365042978929
2,5,1,0.7725743334995384,0.7457947475430533,-0.026779585956485108
3,5,0,0.7697932209083939,0.7669246067742568,-0.002868614134137082
3,5,1,0.776514651810919,0.7578448115389643,-0.01866984027195473
4,5,0,0.760930671396573,0.7471571051056788,-0.013773566290894212
4,5,1,0.7856811761739048,0.7518120157782489,-0.033869160395655906
5,5,0,0.7453481580589925,0.7671845491231164,0.02183639106412394
5,5,1,0.7777234655343991,0.7833116442382697,0.005588178703870628
6,5,0,0.7591439728304045,0.7580039821137161,-0.001139990716688355
6,5,1,0.7674765975720068,0.7298482882037635,-0.03762830936824335
7,5,0,0.7515181911493585,0.7513440183741086,-0.00017417277524989228
7,5,1,0.7646807467110701,0.7305721149861774,-0.03410863172489276
8,5,0,0.7548821785020364,0.7337741974996159,-0.021107981002420506
8,5,1,0.7572088973711729,0.7560614427379799,-0.0011474546331929902
9,5,0,0.7528505622658347,0.7109119260083123,-0.041938636257522366
9,5,1,0.7734264850116069,0.7551708369350295,-0.018255648076577424
10,5,0,0.7461178466513105,0.7752926774955691,0.029174830844258537
10,5,1,0.7552616538544269,0.7649887758534926,0.009727121999065669
11,5,0,0.7872474087965436,0.7872474087965441,4.440892098500626e-16
11,5,1,0.7897082869649109,0.7897082869649107,-2.220446049250313e-16
12,5,0,0.7487178878137914,0.7324549826201062,-0.01626290519368523
12,5,1,0.7890472761391293,0.7719732365807045,-0.01707403955842479
13,5,0,0.759959198673236,0.7328020689612529,-0.02715712971198314
13,5,1,0.7181985363690242,0.7207975226675378,0.002598986298513628
14,5,0,0.7522411878384101,0.7616168269595374,0.009375639121127266
14,5,1,0.7522795319751383,0.7432443401335344,-0.009035191841603951
15,5,0,0.7598458974044148,0.7887610632977948,0.028915165893380057
15,5,1,0.7477178699750457,0.7534064404306288,0.00568857045558302
16,5,0,0.7312961692558603,0.7312961692558603,0.0
16,5,1,0.7150527324227928,0.7150527324227922,-5.551115123125783e-16
