run_id,arm,block,seed,consumed_budget,num_invalid,num_duplicate,num_failed,num_unique,selected_val_logloss,test_logloss,test_auc,test_accuracy,test_brier
controlled_greedy_b7_s0,controlled_greedy,7,0,25,0,0,0,25,0.6828982424605153,0.7168103113425612,0.5303765781017447,0.5245,0.260212176004785
controlled_greedy_b7_s1,controlled_greedy,7,1,25,0,0,0,25,0.6953465625659373,0.7441737982448485,0.501820308018181,0.4995,0.272890200202643
controlled_greedy_b7_s2,controlled_greedy,7,2,25,0,3,0,22,0.6737888333620616,0.712213234977086,0.5352217064961426,0.5265,0.2584886720488294
controlled_random_b8_s0,controlled_random,8,0,25,0,1,0,24,0.731522119519708,0.7601850937142401,0.4966953636804924,0.499,0.2782481985845119
controlled_random_b8_s1,controlled_random,8,1,25,0,2,0,23,0.7244160143631143,0.7310157542859098,0.5123951442406057,0.513,0.266654296292076
controlled_random_b8_s2,controlled_random,8,2,25,0,0,0,25,0.7364058410932812,0.7340301716115798,0.5113992401843777,0.5105,0.26745851594036485
controlled_evolutionary_b8_s0,controlled_evolutionary,8,0,25,0,8,0,17,0.7162310382451209,0.7125552076159709,0.5320715205539353,0.537,0.2584748631715968
controlled_evolutionary_b8_s1,controlled_evolutionary,8,1,25,0,7,0,18,0.7299436141583105,0.7136095073361959,0.5055241082998022,0.506,0.2596096908769833
controlled_evolutionary_b8_s2,controlled_evolutionary,8,2,25,0,5,0,20,0.7310404309022419,0.7142788113423019,0.5111043803731682,0.5195,0.25970982089438804
controlled_greedy_b8_s0,controlled_greedy,8,0,25,0,1,0,24,0.7446190924427349,0.7338987463477264,0.5023328024519499,0.501,0.26831951357138967
controlled_greedy_b8_s1,controlled_greedy,8,1,25,0,4,0,22,0.7175100066281299,0.746937028922381,0.5050487220735665,0.5015,0.2727923463779731
controlled_greedy_b8_s2,controlled_greedy,8,2,25,0,2,0,23,0.7253495346868474,0.7288084210218403,0.5070926822614744,0.5115,0.2654255944289806
controlled_random_b9_s0,controlled_random,9,0,25,0,1,0,24,0.7010644073592839,0.7277654462410414,0.5463080342278084,0.542,0.26419309442424743
controlled_random_b9_s1,controlled_random,9,1,25,0,2,0,23,0.7153802388000136,0.6970502028168413,0.5404068263055068,0.5355,0.25180176688906203
controlled_random_b9_s2,controlled_random,9,2,25,0,0,0,25,0.7024342935014415,0.7192625502068597,0.5604362320526656,0.5295,0.259885411688416
controlled_evolutionary_b9_s0,controlled_evolutionary,9,0,25,0,4,0,21,0.7183107466209513,0.703562470974749,0.5321026112143009,0.5405,0.2548318312304197
controlled_evolutionary_b9_s1,controlled_evolutionary,9,1,25,0,9,0,17,0.7188043212007991,0.7075570873688227,0.5371914502689844,0.538,0.2561796624633913
controlled_evolutionary_b9_s2,controlled_evolutionary,9,2,25,0,4,0,21,0.7323897328610471,0.7466709632707709,0.5587904329023433,0.5375,0.2698983748268123
controlled_greedy_b9_s0,controlled_greedy,9,0,25,0,0,0,25,0.7154416864728663,0.7607026588553871,0.5138102707495056,0.517,0.2776115633882265
controlled_greedy_b9_s1,controlled_greedy,9,1,25,0,1,0,24,0.7023813059085089,0.7038465503313671,0.5760738312920476,0.557,0.2533471864331046
controlled_greedy_b9_s2,controlled_greedy,9,2,25,0,3,0,22,0.698635118006318,0.7107364793847023,0.5477231607367081,0.5365,0.2574327290310474
