block,structural_hash,depth,two_qubit_gate_count,total_trainable_params,val_logloss,transpiled_two_qubit,transpiled_depth,wall_clock_seconds
0,feadae627ad0,7,3,53,0.7557264501051202,3,11,2.4446
1,04674db05f0e,12,7,53,0.7259313855619121,19,28,3.1025
1,07b16a99f569,4,0,53,0.701600405215013,0,4,2.5676
1,07b16a99f569,4,0,53,0.7326993367127811,0,4,2.4684
1,0a0ec1d37b3a,11,8,53,0.7058558826916586,26,32,2.7365
1,0ace4c49ce0d,10,7,53,0.7769475957792695,23,34,2.8975
1,0b194a3d9649,13,10,53,0.7658338625177826,28,38,3.0435
1,0beaa6097ab1,18,15,53,0.7163174347278755,50,60,3.2273
1,0c18287a2413,17,14,53,0.7380157408178382,44,46,3.1077
1,0c7357a974c0,14,11,53,0.7259552907234058,29,33,3.0348
1,0d3379fcd92e,9,4,53,0.7507190939163484,8,11,2.6609
1,0f5f58bfd640,9,3,53,0.7511434819279359,3,11,2.8091
1,0fa941be8720,16,14,53,0.736156530303134,40,45,3.1573
1,0fd685f341b9,13,11,53,0.7197645453811771,31,39,3.4539
1,106feecd14a4,7,4,53,0.7214030253290675,14,21,2.4574
1,1286b9d7592f,12,10,53,0.7336574144026482,14,17,2.8416
1,13e3290c60c3,8,4,53,0.700356349874387,8,10,2.7208
1,1533e7d145eb,8,4,53,0.7203952127527096,10,12,2.5028
1,170257dd9920,9,3,53,0.7183912745724874,3,12,2.9208
1,176ac26e068b,13,10,53,0.7371027698691762,29,37,2.956
1,1779b73f5d4c,11,8,53,0.7467532053070474,26,33,2.9786
1,185fb8c393f2,16,13,53,0.7241971970500484,37,44,3.1066
1,19f564e45cac,13,11,53,0.8857503689986762,37,38,3.0124
1,1ae6d35f0eab,11,7,53,0.7287564942664448,23,36,3.3832
1,1bbcc27b7a3e,9,6,53,0.7626232372801293,6,15,2.7236
1,1ca34c52576f,15,13,53,0.7305798793941276,38,45,2.9474
1,1d21ab331501,15,11,53,0.7431556540521211,32,38,3.0816
1,1f1a353443ff,18,15,53,0.7504853075258718,52,64,3.297
1,1ffd9d4ea677,10,7,53,0.7297071670015588,23,29,2.8455
1,2088c4f0d60c,4,0,53,0.7073465127896231,0,4,2.3101
1,223bdd32245f,7,3,53,0.7169832756173473,6,14,2.5358
1,2325f02d575f,8,4,53,0.7408052713304847,10,18,3.0655
1,2809196352c7,11,7,53,0.7850783949641014,11,16,3.3053
1,281455fc1020,7,3,53,0.7240777144877557,6,15,2.8288
1,28f1da047f96,11,8,53,0.7126094558768465,28,34,2.6791
1,2b5fb3002942,9,3,53,0.7528327214419878,3,12,2.9062
1,2b7ba721059c,12,10,53,0.76094242938599,26,33,4.0976
1,2b8362192d2d,11,8,53,0.7300672731628772,28,32,2.6598
1,2c5211cbc472,11,7,53,0.7628660613057144,23,31,3.1464
1,2f32cd0a3c4d,16,14,53,0.7557041548864265,37,45,3.7591
1,303bdf628760,12,10,53,0.7360914434421967,30,39,2.8961
1,333ab963d46a,21,19,53,0.74551758286733,62,59,3.1925
1,34f123fd3ec6,13,8,53,0.7735504204015978,26,34,3.0911
1,39d826a64d6e,12,8,53,0.7311765094537503,30,36,3.8856
1,3b7c3105dcd1,4,0,53,0.6967621910495809,0,4,2.2174
1,3bdb74a459a0,7,3,53,0.7512359607109196,6,12,2.4239
1,3dad662f670d,7,3,53,0.7093728069678362,3,7,2.3192
1,3e0c4edf2a40,13,10,53,0.7576716969285551,29,42,3.3585
1,3ff0891a23b4,11,7,53,0.7745766001009273,14,17,2.6512
1,40145a133833,7,3,53,0.7154621433685567,6,17,3.1383
1,41577193e6f2,12,7,53,0.7310129978024743,16,23,2.8981
1,424f11391ed6,7,3,53,0.7338658259810774,3,7,2.5314
