split,structural_hash,encoding_type,n_qubits,depth,gate_count,two_qubit_gate_count,embed_params,quantum_params,head_params,total_trainable_params,val_rmse,wall_clock_seconds
0,60f71c5f5f44,angle,4,12,25,9,88,12,5,105,0.020055159134112467,0.854
0,60fa7be04927,angle,4,8,20,4,88,12,5,105,0.02237044057986683,0.8688
0,6190c1fd75d3,angle,4,9,22,6,88,12,5,105,0.027129754650557104,0.9123
0,61c04d782603,angle,4,7,16,4,88,12,5,105,0.03798213501567593,0.8351
0,61d483adacb5,angle,4,13,26,10,88,12,5,105,0.017754393227022047,0.9662
0,61d8ee298451,angle,4,14,20,12,88,12,5,105,0.04686234392844734,1.7138
0,62e8205aea43,angle,4,15,27,11,88,12,5,105,0.017472517488918062,1.2578
0,631ea99bc43c,angle,4,12,24,8,88,12,5,105,0.030213825654686135,0.9627
0,633cc0801dab,angle,4,12,25,9,88,12,5,105,0.023248418690057164,0.9838
0,6367f12b0a3b,angle,4,14,23,11,88,12,5,105,0.03545396664276185,1.0729
0,63f91ae70bc9,angle,4,13,26,10,88,12,5,105,0.023740655217530816,0.9539
0,63f92903b7da,angle,4,14,26,10,88,12,5,105,0.015620810557896197,1.0016
0,643641ecf7ec,angle,4,12,27,7,88,12,5,105,0.02309521697178561,1.088
0,6500db73b157,angle,4,11,23,7,88,12,5,105,0.028566565823989476,0.8209
0,654ce9a713ec,angle,4,17,26,14,88,12,5,105,0.031233722087292023,1.0659
0,660686604c65,angle,4,10,22,6,88,12,5,105,0.020411581781819562,0.8517
0,664ebfae93dd,angle,4,15,26,14,88,12,5,105,0.028614452720299315,1.0673
0,6656ca701b62,angle,4,15,25,13,88,12,5,105,0.021733228041100876,0.9655
0,66f573445933,angle,4,16,28,12,88,12,5,105,0.021994112553585077,0.9973
0,67aaf30d6a66,angle,4,15,26,14,88,12,5,105,0.015049463894768465,1.0153
0,67d58a8439aa,angle,4,4,16,0,88,12,5,105,0.0418692865092541,0.7998
0,68ad74bbf251,angle,4,12,22,10,88,12,5,105,0.02660710341764842,0.8452
0,691c49120766,angle,4,10,23,7,88,12,5,105,0.017614255014511793,0.8882
0,697afbdf8daa,angle,4,10,19,7,88,12,5,105,0.04230971366595732,0.8658
0,6a29efbc4db1,angle,4,14,26,10,88,12,5,105,0.016875905655773144,1.052
