pair,block,seed,entangled_logloss,product_logloss,depth_diff,param_count_preserved,diff_product_minus_entangled
6,3,0,0.7854880139938544,0.7140407678030516,3,True,-0.07144724619080278
6,3,1,0.7601476822835135,0.7555443830171962,3,True,-0.004603299266317307
7,3,0,0.7605053719700188,0.7643655519893842,6,True,0.003860180019365389
7,3,1,0.7362726881905539,0.7450094960233606,6,True,0.008736807832806726
8,3,0,0.721103855241803,0.721103855241803,3,True,0.0
8,3,1,0.7384182811565464,0.7384182811565438,3,True,-2.55351295663786e-15
9,3,0,0.7454795640858686,0.7516779590413116,3,True,0.006198394955443054
9,3,1,0.743758876720784,0.7358455306042406,3,True,-0.007913346116543374
10,3,0,0.7683580799300441,0.7510448443069037,3,True,-0.017313235623140466
10,3,1,0.7500423136799252,0.7604878433073706,3,True,0.010445529627445382
11,3,0,0.7354077539353211,0.7447534448911438,3,True,0.009345690955822716
11,3,1,0.7414758149351756,0.7304431193524721,3,True,-0.011032695582703478
12,3,0,0.7494150169970571,0.7571692683277146,3,True,0.007754251330657436
12,3,1,0.7696791556040945,0.7282537961812011,3,True,-0.04142535942289338
13,3,0,0.7575878175321495,0.7590920872470615,3,True,0.00150426971491191
13,3,1,0.7419594509098011,0.7498569133780751,3,True,0.007897462468274052
14,3,0,0.7666147791087549,0.7442342885044836,6,True,-0.022380490604271275
14,3,1,0.7735799478166944,0.7591405006273789,6,True,-0.014439447189315446
15,3,0,0.7318480367463421,0.7318480367463484,9,True,6.217248937900877e-15
15,3,1,0.7201757183275806,0.7201757183275808,9,True,1.1102230246251565e-16
16,3,0,0.7398150671079691,0.7398150671079691,3,True,0.0
16,3,1,0.7546594915960513,0.7546594915960513,3,True,0.0
17,3,0,0.7398155896008166,0.7398155896008166,3,True,0.0
17,3,1,0.7232866643105047,0.7232866643105045,3,True,-2.220446049250313e-16
18,3,0,0.7630225276433393,0.7492457120727168,3,True,-0.013776815570622492
18,3,1,0.7350022189665346,0.7350184975328851,3,True,1.627856635044722e-05
19,3,0,0.7691964701479305,0.7432148154217536,3,True,-0.02598165472617686
19,3,1,0.7517867864384818,0.7490468627094203,3,True,-0.002739923729061511
0,4,0,0.7141893746676297,0.7059445566015006,3,True,-0.00824481806612909
0,4,1,0.7147964844403909,0.6960917817022833,3,True,-0.018704702738107648
1,4,0,0.7363510938576583,0.7375375933531291,6,True,0.001186499495470783
1,4,1,0.7453069102667846,0.724466427719334,6,True,-0.020840482547450634
2,4,0,0.7166167678945136,0.7028163791589427,3,True,-0.013800388735570879
2,4,1,0.706663227922556,0.7038064970947465,3,True,-0.0028567308278094616
3,4,0,0.699173302911558,0.699173302911558,6,True,0.0
3,4,1,0.7098621706349896,0.7098621706349898,6,True,2.220446049250313e-16
4,4,0,0.7070493131445539,0.7103186561249322,3,True,0.003269342980378287
4,4,1,0.7186032862919806,0.7158420235891456,3,True,-0.0027612627028349435
5,4,0,0.7236518432057988,0.7114363715547798,3,True,-0.012215471651018994
5,4,1,0.7045959139060419,0.7062686720710907,3,True,0.0016727581650487489
6,4,0,0.7492565517635417,0.7191002731672881,3,True,-0.030156278596253583
6,4,1,0.7449110394338091,0.7065018716835859,3,True,-0.03840916775022318
7,4,0,0.7170023027782124,0.7063838521827442,6,True,-0.010618450595468176
7,4,1,0.7275056311620991,0.7143387869338967,6,True,-0.013166844228202357
8,4,0,0.6967051700068265,0.6967051700068266,3,True,1.1102230246251565e-16
