experiment,task,n_qubits,arm,replicate,data_seed,search_seed,budget_unique,val_metric_name,val_metric_value,primary_test_metric,primary_test_value,test_rmse,test_mae,test_auc,test_brier,num_proposed,num_valid,num_invalid,num_duplicate,num_failed,num_unique,stop_reason,logical_gate_count,logical_depth,two_qubit_count,parameter_count,transpiled_depth_line,transpiled_2q_line,llm_calls,llm_tokens,llm_cost_usd,llm_mock,model_snapshot
E3,sin_freq,4,random_structure,0,1000,2000,16,rmse,0.07965227225030608,test_rmse,0.0806573101332043,0.0806573101332043,0.056567663213479946,,,16,16,0,0,0,16,budget_exhausted,30,20,17,22,122,55,,,,,
E3,sin_freq,4,random_structure,1,1001,2001,16,rmse,0.12311518649897778,test_rmse,0.12642044160730542,0.12642044160730542,0.09238690934362939,,,16,16,0,0,0,16,budget_exhausted,24,15,15,15,87,42,,,,,
E3,sin_freq,4,random_structure,2,1002,2002,16,rmse,0.08560316625153161,test_rmse,0.09135195218842099,0.09135195218842099,0.06670588213549354,,,16,16,0,0,0,16,budget_exhausted,25,12,9,18,77,27,,,,,
E3,sin_freq,4,random_structure,3,1003,2003,16,rmse,0.13907170023899806,test_rmse,0.15570772420627496,0.15570772420627496,0.11500725803503024,,,16,16,0,0,0,16,budget_exhausted,23,14,13,22,86,32,,,,,
E3,sin_freq,4,random_structure,4,1004,2004,16,rmse,0.07462545383355633,test_rmse,0.07320107625312547,0.07320107625312547,0.05137358089463821,,,16,16,0,0,0,16,budget_exhausted,31,21,20,18,115,64,,,,,
E3,sin_freq,4,ref_strongent_d2,0,1000,2000,16,rmse,0.12508828079695347,test_rmse,0.12993052110610895,0.12993052110610895,0.09963792483361636,,,1,1,0,0,0,1,arm_exhausted,33,15,8,24,33,22,,,,,
E3,sin_freq,4,ref_strongent_d2,1,1001,2001,16,rmse,0.12650815761244438,test_rmse,0.1318300638338101,0.1318300638338101,0.10214844778306162,,,1,1,0,0,0,1,arm_exhausted,33,15,8,24,33,22,,,,,
E3,sin_freq,4,ref_strongent_d2,2,1002,2002,16,rmse,0.1278609652467386,test_rmse,0.13165099036766406,0.13165099036766406,0.11730119881588986,,,1,1,0,0,0,1,arm_exhausted,33,15,8,24,33,22,,,,,
E3,sin_freq,4,ref_strongent_d2,3,1003,2003,16,rmse,0.13999442324465358,test_rmse,0.14971467390351217,0.14971467390351217,0.11000295085749225,,,1,1,0,0,0,1,arm_exhausted,33,15,8,24,33,22,,,,,
E3,sin_freq,4,ref_strongent_d2,4,1004,2004,16,rmse,0.12794743207180403,test_rmse,0.13122617370940606,0.13122617370940606,0.10130838005185612,,,1,1,0,0,0,1,arm_exhausted,33,15,8,24,33,22,,,,,
E3,sin_freq,6,evolutionary_structure,0,1000,2000,16,rmse,0.14749309985270292,test_rmse,0.14615772313556505,0.14615772313556505,0.10199002097700542,,,20,16,0,4,0,16,budget_exhausted,48,23,23,29,103,79,,,,,
E3,sin_freq,6,evolutionary_structure,1,1001,2001,16,rmse,0.13404353277677158,test_rmse,0.12510561752123253,0.12510561752123253,0.06749238327998372,,,18,16,0,2,0,16,budget_exhausted,63,31,56,35,248,229,,,,,
E3,sin_freq,6,evolutionary_structure,2,1002,2002,16,rmse,0.06662809336953461,test_rmse,0.06122012433020531,0.06122012433020531,0.04301241019945154,,,17,16,0,1,0,16,budget_exhausted,86,40,60,42,290,247,,,,,
E3,sin_freq,6,evolutionary_structure,3,1003,2003,16,rmse,0.06436424519227134,test_rmse,0.0574225912881217,0.0574225912881217,0.040437957122308854,,,17,16,0,1,0,16,budget_exhausted,33,15,21,32,137,102,,,,,
E3,sin_freq,6,evolutionary_structure,4,1004,2004,16,rmse,0.09213515547664586,test_rmse,0.09812750888333932,0.09812750888333932,0.07224788615495073,,,18,16,0,2,0,16,budget_exhausted,32,22,26,25,120,89,,,,,
E3,sin_freq,6,random_structure,0,1000,2000,16,rmse,0.07947900553013114,test_rmse,0.07478077950651818,0.07478077950651818,0.05491983309093678,,,16,16,0,0,0,16,budget_exhausted,53,33,38,46,206,177,,,,,
E3,sin_freq,6,random_structure,1,1001,2001,16,rmse,0.062182345453668235,test_rmse,0.06034971570915063,0.06034971570915063,0.04211471666211951,,,16,16,0,0,0,16,budget_exhausted,78,36,58,65,305,248,,,,,
E3,sin_freq,6,random_structure,2,1002,2002,16,rmse,0.08394472110168583,test_rmse,0.07801898185562632,0.07801898185562632,0.059662911754300094,,,16,16,0,0,0,16,budget_exhausted,75,27,32,48,198,147,,,,,
E3,sin_freq,6,random_structure,3,1003,2003,16,rmse,0.06779958612148891,test_rmse,0.054221035193321734,0.054221035193321734,0.036312558395260326,,,16,16,0,0,0,16,budget_exhausted,74,35,53,62,265,219,,,,,
E3,sin_freq,6,random_structure,4,1004,2004,16,rmse,0.057192143291664076,test_rmse,0.057806617508347376,0.057806617508347376,0.038967013139234445,,,16,16,0,0,0,16,budget_exhausted,68,38,52,43,267,206,,,,,
E3,sin_freq,6,ref_strongent_d2,0,1000,2000,16,rmse,0.19395851299394123,test_rmse,0.19126767254960694,0.19126767254960694,0.1471624812331349,,,1,1,0,0,0,1,arm_exhausted,49,19,12,36,50,35,,,,,
E3,sin_freq,6,ref_strongent_d2,1,1001,2001,16,rmse,0.19860168081707494,test_rmse,0.19646995715785825,0.19646995715785825,0.1541630452492453,,,1,1,0,0,0,1,arm_exhausted,49,19,12,36,50,35,,,,,
E3,sin_freq,6,ref_strongent_d2,2,1002,2002,16,rmse,0.2018853616181172,test_rmse,0.19759617911434776,0.19759617911434776,0.15800035688944852,,,1,1,0,0,0,1,arm_exhausted,49,19,12,36,50,35,,,,,
E3,sin_freq,6,ref_strongent_d2,3,1003,2003,16,rmse,0.20243414544486613,test_rmse,0.20492970526782725,0.20492970526782725,0.16230121493350017,,,1,1,0,0,0,1,arm_exhausted,49,19,12,36,50,35,,,,,
E3,sin_freq,6,ref_strongent_d2,4,1004,2004,16,rmse,0.19865267926081145,test_rmse,0.2039184769850794,0.2039184769850794,0.16368274825988915,,,1,1,0,0,0,1,arm_exhausted,49,19,12,36,50,35,,,,,
E3,sin_freq,8,evolutionary_structure,0,1000,2000,16,rmse,0.044858645050848384,test_rmse,0.0411654659039066,0.0411654659039066,0.030708511606853534,,,17,16,0,1,0,16,budget_exhausted,119,45,78,85,433,426,,,,,
E3,sin_freq,8,evolutionary_structure,1,1001,2001,16,rmse,0.3053897133365189,test_rmse,0.2909756697230312,0.2909756697230312,0.2527580593100782,,,22,16,0,6,0,16,budget_exhausted,31,11,8,18,58,26,,,,,
E3,sin_freq,8,evolutionary_structure,2,1002,2002,16,rmse,0.04402219125343193,test_rmse,0.04086620144292475,0.04086620144292475,0.02769632502610534,,,19,16,0,3,0,16,budget_exhausted,118,62,55,109,370,297,,,,,
E3,sin_freq,8,evolutionary_structure,3,1003,2003,16,rmse,0.051325019129511006,test_rmse,0.05006088588109611,0.05006088588109611,0.03507963098226034,,,16,16,0,0,0,16,budget_exhausted,179,77,147,156,918,831,,,,,
E3,sin_freq,8,evolutionary_structure,4,1004,2004,16,rmse,0.05749124649340313,test_rmse,0.054694458275622373,0.054694458275622373,0.03615560934894402,,,16,16,0,0,0,16,budget_exhausted,142,73,116,106,601,635,,,,,
E3,sin_freq,8,random_structure,0,1000,2000,16,rmse,0.04934876371716325,test_rmse,0.04596371220201175,0.04596371220201175,0.030685343156749097,,,16,16,0,0,0,16,budget_exhausted,112,41,37,101,322,221,,,,,
E3,sin_freq,8,random_structure,1,1001,2001,16,rmse,0.06405207607228347,test_rmse,0.057937920170644495,0.057937920170644495,0.03597376688726843,,,16,16,0,0,0,16,budget_exhausted,131,49,90,110,498,491,,,,,
E3,sin_freq,8,random_structure,2,1002,2002,16,rmse,0.07155066127706587,test_rmse,0.06978412051979008,0.06978412051979008,0.049997290277509265,,,16,16,0,0,0,16,budget_exhausted,115,58,97,88,500,463,,,,,
