pair,split,seed,entangled_bae,product_bae,entangled_two_qubit,gate_count_mismatch,param_count_preserved,diff_product_minus_entangled
12,0,0,0.11349206349206353,0.0992063492063493,7,-1,True,-0.014285714285714235
12,0,1,0.11349206349206353,0.071031746031746,7,-1,True,-0.04246031746031753
12,0,2,0.11349206349206353,0.0992063492063493,7,-1,True,-0.014285714285714235
13,0,0,0.11349206349206353,0.11349206349206353,10,-2,True,0.0
13,0,1,0.0992063492063493,0.08492063492063495,10,-2,True,-0.014285714285714346
13,0,2,0.11349206349206353,0.0992063492063493,10,-2,True,-0.014285714285714235
14,0,0,0.0992063492063493,0.09960317460317458,4,0,True,0.0003968253968252844
14,0,1,0.0992063492063493,0.08492063492063495,4,0,True,-0.014285714285714346
14,0,2,0.08531746031746035,0.11349206349206353,4,0,True,0.028174603174603186
15,0,0,0.11349206349206353,0.08492063492063495,3,-1,True,-0.02857142857142858
15,0,1,0.11349206349206353,0.0992063492063493,3,-1,True,-0.014285714285714235
15,0,2,0.0992063492063493,0.0992063492063493,3,-1,True,0.0
16,0,0,0.0992063492063493,0.0992063492063493,18,-2,True,0.0
16,0,1,0.11349206349206353,0.0992063492063493,18,-2,True,-0.014285714285714235
16,0,2,0.0992063492063493,0.0706349206349206,18,-2,True,-0.028571428571428692
17,0,0,0.11349206349206353,0.071031746031746,8,0,True,-0.04246031746031753
17,0,1,0.0992063492063493,0.0992063492063493,8,0,True,0.0
17,0,2,0.11349206349206353,0.0992063492063493,8,0,True,-0.014285714285714235
18,0,0,0.0992063492063493,0.0992063492063493,11,-1,True,0.0
18,0,1,0.08492063492063495,0.0992063492063493,11,-1,True,0.014285714285714346
18,0,2,0.0992063492063493,0.0992063492063493,11,-1,True,0.0
19,0,0,0.0992063492063493,0.08492063492063495,3,-1,True,-0.014285714285714346
19,0,1,0.08531746031746035,0.0992063492063493,3,-1,True,0.01388888888888895
19,0,2,0.11349206349206353,0.08531746031746035,3,-1,True,-0.028174603174603186
0,1,0,0.014285714285714235,0.028174603174603186,7,-1,True,0.01388888888888895
0,1,1,0.028174603174603186,0.04246031746031753,7,-1,True,0.014285714285714346
0,1,2,0.014285714285714235,0.028174603174603186,7,-1,True,0.01388888888888895
1,1,0,0.028174603174603186,0.028174603174603186,14,-2,True,0.0
1,1,1,0.014285714285714235,0.014285714285714235,14,-2,True,0.0
1,1,2,0.014285714285714235,0.014285714285714235,14,-2,True,0.0
2,1,0,0.014285714285714235,0.028174603174603186,19,-1,True,0.01388888888888895
2,1,1,0.028174603174603186,0.028174603174603186,19,-1,True,0.0
2,1,2,0.028174603174603186,0.02857142857142858,19,-1,True,0.0003968253968253954
3,1,0,0.028174603174603186,0.028174603174603186,3,-1,True,0.0
3,1,1,0.028174603174603186,0.014285714285714235,3,-1,True,-0.01388888888888895
3,1,2,0.014285714285714235,0.014285714285714235,3,-1,True,0.0
4,1,0,0.014285714285714235,0.028174603174603186,11,-1,True,0.01388888888888895
4,1,1,0.028174603174603186,0.014285714285714235,11,-1,True,-0.01388888888888895
4,1,2,0.014285714285714235,0.02857142857142858,11,-1,True,0.014285714285714346
5,1,0,0.014285714285714235,0.014285714285714235,7,-1,True,0.0
5,1,1,0.028174603174603186,0.028174603174603186,7,-1,True,0.0
5,1,2,0.014285714285714235,0.014285714285714235,7,-1,True,0.0
6,1,0,0.028174603174603186,0.014285714285714235,14,-2,True,-0.01388888888888895
6,1,1,0.028174603174603186,0.028174603174603186,14,-2,True,0.0
6,1,2,0.028174603174603186,0.014285714285714235,14,-2,True,-0.01388888888888895
7,1,0,0.014285714285714235,0.028174603174603186,7,-1,True,0.01388888888888895
7,1,1,0.028174603174603186,0.028174603174603186,7,-1,True,0.0
7,1,2,0.014285714285714235,0.028174603174603186,7,-1,True,0.01388888888888895
8,1,0,0.028174603174603186,0.028174603174603186,14,-2,True,0.0
