arch,split,seed,two_qubit,hash,trainable_bae,frozen_bae,diff_frozen_minus_trainable
6,4,1,6,34a287dcab,0.02857142857142858,0.04166666666666674,0.01309523809523816
6,4,2,6,34a287dcab,0.014285714285714235,0.0,-0.014285714285714235
7,4,0,10,6d4b435a9f,0.014285714285714235,0.014285714285714235,0.0
7,4,1,10,6d4b435a9f,0.04285714285714293,0.014285714285714235,-0.028571428571428692
7,4,2,10,6d4b435a9f,0.014285714285714235,0.0,-0.014285714285714235
8,4,0,11,15ad2f058c,0.014285714285714235,0.014285714285714235,0.0
8,4,1,11,15ad2f058c,0.02857142857142858,0.0,-0.02857142857142858
8,4,2,11,15ad2f058c,0.014285714285714235,0.0,-0.014285714285714235
9,4,0,3,cf6d8389ab,0.014285714285714235,0.01388888888888884,-0.0003968253968253954
9,4,1,3,cf6d8389ab,0.04285714285714293,0.0,-0.04285714285714293
9,4,2,3,cf6d8389ab,0.5,0.1702380952380953,-0.3297619047619047
10,4,0,4,82fb2626cb,0.014285714285714235,0.02777777777777779,0.013492063492063555
10,4,1,4,82fb2626cb,0.014285714285714235,0.014285714285714235,0.0
10,4,2,4,82fb2626cb,0.014285714285714235,0.0,-0.014285714285714235
11,4,0,7,429788f685,0.0,0.0,0.0
11,4,1,7,429788f685,0.0,0.014285714285714235,0.014285714285714235
11,4,2,7,429788f685,0.014285714285714235,0.0,-0.014285714285714235
12,4,0,10,e391e0794e,0.014285714285714235,0.0,-0.014285714285714235
12,4,1,10,e391e0794e,0.014285714285714235,0.014285714285714235,0.0
12,4,2,10,e391e0794e,0.0,0.0,0.0
13,4,0,4,f58e85e5f2,0.014285714285714235,0.014285714285714235,0.0
13,4,1,4,f58e85e5f2,0.014285714285714235,0.014285714285714235,0.0
13,4,2,4,f58e85e5f2,0.014285714285714235,0.014285714285714235,0.0
14,4,0,0,39d61cca49,0.014285714285714235,0.0,-0.014285714285714235
14,4,1,0,39d61cca49,0.0,0.02777777777777779,0.02777777777777779
14,4,2,0,39d61cca49,0.014285714285714235,0.014285714285714235,0.0
15,4,0,6,e57263a96f,0.014285714285714235,0.014285714285714235,0.0
15,4,1,6,e57263a96f,0.014285714285714235,0.014285714285714235,0.0
15,4,2,6,e57263a96f,0.014285714285714235,0.014285714285714235,0.0
16,4,0,8,e6b930e1ec,0.014285714285714235,0.014285714285714235,0.0
16,4,1,8,e6b930e1ec,0.014285714285714235,0.014285714285714235,0.0
16,4,2,8,e6b930e1ec,0.014285714285714235,0.014285714285714235,0.0
17,4,0,15,30651eac8c,0.014285714285714235,0.02857142857142858,0.014285714285714346
17,4,1,15,30651eac8c,0.014285714285714235,0.0,-0.014285714285714235
17,4,2,15,30651eac8c,0.014285714285714235,0.0,-0.014285714285714235
18,4,0,4,b2beed92b8,0.014285714285714235,0.014285714285714235,0.0
18,4,1,4,b2beed92b8,0.0,0.0,0.0
18,4,2,4,b2beed92b8,0.04285714285714293,0.02857142857142858,-0.014285714285714346
