split,structural_hash,depth,gate_count,two_qubit_gate_count,total_trainable_params,val_logloss,wall_clock_seconds
0,ca954a1306f1,14,27,11,61,0.050360977432054435,1.6208
0,cc7ef5e32419,10,16,8,61,0.05639285556892034,1.3754
0,cc7ef5e32419,10,16,8,61,0.03937164219461368,1.1744
0,cd454a98785b,14,27,11,61,0.05430330703030357,1.5554
0,cd4586d563ef,13,26,10,61,0.04193733456190011,1.3436
0,cd763c399386,10,19,7,61,0.06517076683170332,1.1689
0,cd83f6e9cb10,10,28,4,61,0.04826394077956889,1.3524
0,cdd4c0ed71be,7,19,3,61,0.04927179607052039,1.1381
0,ce08324453bb,12,24,8,61,0.03726948896560668,1.4136
0,ce2203b998be,10,23,7,61,0.05790501570394518,1.2889
0,cf42a8465463,10,23,7,61,0.06187693444974999,1.1579
0,d0505626bf76,17,27,15,61,0.08620136306635073,1.4496
0,d0e42247cbc2,12,22,10,61,0.04321450770364185,1.276
0,d1b5248a49c2,11,20,8,61,0.03470077859970654,1.1875
0,d270296f1b16,12,26,10,61,0.05776374591306768,1.3327
0,d28bc0c48242,10,19,7,61,0.04654192539033296,1.2936
0,d45c1574c4c0,5,20,0,61,0.04655012953543748,1.1283
0,d4a0a85e103c,14,27,11,61,0.041343160406044625,1.4303
0,d594466dafa9,13,26,10,61,0.06563121285212838,1.5492
0,d5bb027f1e42,10,22,6,61,0.04427019556298944,1.3982
0,d6045baa161d,13,26,10,61,0.05597145776163892,1.3386
0,d6340426b764,12,24,8,61,0.054977791786653414,1.516
0,d795eeabb01f,18,25,17,61,0.05096489029067328,1.7712
0,d81d495eb858,14,27,11,61,0.05436863643128785,1.3464
0,d87f6b00d8b8,7,19,3,61,0.0573200999223893,1.0743
0,d885d2bef868,10,16,8,61,0.0412891964242634,1.2015
0,d9556a413df7,9,22,6,61,0.05309754802470796,1.1491
0,d97ccd04f4f5,7,16,4,61,0.04301483826582822,1.1769
0,d97ccd04f4f5,7,16,4,61,0.06305914410580968,1.1069
0,d9c36e170631,16,22,14,61,0.05338997146714139,1.561
0,da006d4b8ea6,10,19,7,61,0.03668993940797209,1.1473
0,db08b7d59498,11,23,7,61,0.042962377082921055,1.6251
0,dc049d2cbb26,14,27,11,61,0.032066950085430174,1.4061
0,dc30ff930450,8,20,4,61,0.04952113819448337,1.209
0,dc31895782f4,11,25,9,61,0.0513626207490458,1.3554
0,dc63c6e12cac,11,23,7,61,0.08404268626935939,1.3202
0,dd3d12e5859e,13,26,10,61,0.062481694593657586,1.3237
0,de76104d375b,9,24,4,61,0.03482076141213337,1.276
0,e3cb5e229ee2,15,25,13,61,0.05408535110728892,1.399
0,e425705d298f,10,26,6,61,0.05141262237123009,1.3428
0,e42bca3d18a6,15,27,11,61,0.05418215493253705,1.4828
0,e556967495b4,7,19,3,61,0.03862985167002656,1.0588
0,e5edc6bf12dc,14,26,10,61,0.04994725514256131,1.3588
0,e603adab834b,8,20,4,61,0.0435517762263504,1.2678
0,e63d377f086f,7,19,3,61,0.053318503394553095,1.0773
0,e69df03d0c42,8,23,3,61,0.19829793570248466,1.4704
0,e6baaf1886c7,13,26,10,61,0.04109151589245422,1.4334
0,e6d3c1ca478a,12,26,10,61,0.05780808667469142,1.3025
0,e6ef0fc23911,4,16,0,61,0.03925844152951083,1.0725
0,e6ef0fc23911,4,16,0,61,0.05507014094482768,1.049
0,e78c71509123,11,27,7,61,0.04203240026954235,1.3716
0,e7a113149909,12,19,11,61,0.031786724651248315,1.5726
0,e8d90d384cf2,12,27,7,61,0.06827601570901533,1.4174
0,e8e8325475cb,17,26,14,61,0.04045565992057436,1.6322
0,e9f9c2469831,15,27,11,61,0.034936644815993095,1.8116
