split,seed,baseline,total_params,balanced_accuracy_error,accuracy,auc,logloss
0,2,C6_fair_nas,73,0.0992063492063493,0.9014084507042254,0.9730158730158729,0.2458418292774031
0,3,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
0,3,C1_logreg,11,0.05555555555555558,0.9436619718309859,0.9888888888888888,0.24558439072777755
0,3,C2_linear_svm,11,0.042063492063492136,0.9577464788732394,0.992063492063492,0.11539151397489449
0,3,C3_rbf_svm,,0.01388888888888884,0.9859154929577465,0.9984126984126984,0.05956144107639208
0,3,C4_trees,,0.04166666666666674,0.9577464788732394,0.9992063492063492,0.2890518823092871
0,3,C5_fixed_mlp,49,0.11349206349206353,0.8873239436619719,0.9714285714285715,0.2585140046999618
0,3,C6_fair_nas,49,0.09841269841269851,0.9014084507042254,0.9746031746031747,0.2210908603212493
0,4,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
0,4,C1_logreg,11,0.05555555555555558,0.9436619718309859,0.9888888888888888,0.24558439072777755
0,4,C2_linear_svm,11,0.042063492063492136,0.9577464788732394,0.992063492063492,0.11539151397489449
0,4,C3_rbf_svm,,0.01388888888888884,0.9859154929577465,0.9984126984126984,0.05956144107639208
0,4,C4_trees,,0.04166666666666674,0.9577464788732394,0.9992063492063492,0.2890518823092871
0,4,C5_fixed_mlp,49,0.09960317460317458,0.9014084507042254,0.9793650793650794,0.24241198767389174
0,4,C6_fair_nas,73,0.0992063492063493,0.9014084507042254,0.9785714285714285,0.21976465864001946
0,5,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
0,5,C1_logreg,11,0.05555555555555558,0.9436619718309859,0.9888888888888888,0.24558439072777755
0,5,C2_linear_svm,11,0.042063492063492136,0.9577464788732394,0.992063492063492,0.11539151397489449
0,5,C3_rbf_svm,,0.01388888888888884,0.9859154929577465,0.9984126984126984,0.05956144107639208
0,5,C4_trees,,0.04166666666666674,0.9577464788732394,0.9992063492063492,0.2890518823092871
0,5,C5_fixed_mlp,49,0.0992063492063493,0.9014084507042254,0.9801587301587302,0.22571448406758915
0,5,C6_fair_nas,63,0.05634920634920637,0.9436619718309859,0.984920634920635,0.20764213066907708
1,0,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
1,0,C1_logreg,11,0.014285714285714235,0.9859154929577465,0.9984126984126984,0.07052315379645772
1,0,C2_linear_svm,11,0.04246031746031753,0.9577464788732394,0.9968253968253968,0.07638711972158763
1,0,C3_rbf_svm,,0.014285714285714235,0.9859154929577465,1.0,0.03789022306669895
1,0,C4_trees,,0.042063492063492136,0.9577464788732394,0.9976190476190476,0.14597120981016531
1,0,C5_fixed_mlp,49,0.028174603174603186,0.971830985915493,0.9976190476190476,0.06855129526085445
1,0,C6_fair_nas,73,0.04246031746031753,0.9577464788732394,0.9976190476190476,0.08760947016083288
1,1,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
1,1,C1_logreg,11,0.014285714285714235,0.9859154929577465,0.9984126984126984,0.07052315379645772
1,1,C2_linear_svm,11,0.04246031746031753,0.9577464788732394,0.9968253968253968,0.07638711972158763
1,1,C3_rbf_svm,,0.014285714285714235,0.9859154929577465,1.0,0.03789022306669895
1,1,C4_trees,,0.042063492063492136,0.9577464788732394,0.9976190476190476,0.14597120981016531
1,1,C5_fixed_mlp,49,0.028174603174603186,0.971830985915493,0.9984126984126984,0.06827950505987335
1,1,C6_fair_nas,49,0.028174603174603186,0.971830985915493,0.996031746031746,0.11350306835107868
1,2,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
1,2,C1_logreg,11,0.014285714285714235,0.9859154929577465,0.9984126984126984,0.07052315379645772
1,2,C2_linear_svm,11,0.04246031746031753,0.9577464788732394,0.9968253968253968,0.07638711972158763
1,2,C3_rbf_svm,,0.014285714285714235,0.9859154929577465,1.0,0.03789022306669895
1,2,C4_trees,,0.042063492063492136,0.9577464788732394,0.9976190476190476,0.14597120981016531
